All-In-One Workstation Sinks,min_mat,avg_mat,max_mat,min_lab,avg_lab,max_lab,Anchors,Asphalt Crack Filler,Butcher Block,Dewatering Bags,Dryer Vent Caps,Cross Braces,Anti-Fog Mirrors,Bracket,Armstrong Ceilings,Accessories,Base Cap,Bluetooth Speaker,Bathroom Vanities with Tops,Finished,ADA Compliant Toilets,Adhesives,Alloy,1-Hole Faucets,Corner Angles,Corner Beads,Chain Link Fencing,2-n-1 Extension Step Ladders,Fixed,Area Rugs,Attachments,Shower Benches
Bar Sinks,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Sinks,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Composite Sinks,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Double-Bowl Sinks,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop-In Sinks,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmhouse Sinks,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern Sinks,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Outdoor Sinks,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Single-Bowl Sinks,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Undermount Sinks,38.25,45.0,54.0,18.0,29.25,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Brad Nails,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Bulk Collated Fasteners,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Cabinet Screws,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Cap Nuts,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Carriage Bolts,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Cement Board Screws,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Chains,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Clips,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Collated Anchors,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Collated Finishing Nails,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Collated Framing Nails,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Collated Nails,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Collated Roofing Nails,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Collated Screws,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Common Nails,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Concrete Screws,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Coupling Nuts,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Deck Screws,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Drywall Screws,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,E-Clips,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Exterior Wood Screws,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Eye Bolts,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Eyes,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Fastener Kits,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Fastener Sets,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Fastener Subscriptions,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Finishing Nails,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Framing Nails,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Furniture Connectors,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Hanger Bolts,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Hex Bolts,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Hex Nuts,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Hook,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Interior Wood Screws,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Joist Hanger Nails,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Lag Bolts,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,License Plate Screws,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Lock Nuts,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Loops,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Machine Screws,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Magnets,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Magnets,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Pins,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Pneumatic Staples,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Post Brackets,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Rings,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Rivets,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Roofing Nails,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Ropes,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Screw Eyes,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Self-Drilling Screws,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Sheet Metal Screws,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Shelf Supports,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Socket Head Cap Screws,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Spacers,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,T-Nets,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,U-Bolts,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Velcro,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Washers,,,,,,,,,,,,,,,,,,,,,,,,,
,38.25,45.0,54.0,18.0,29.25,40.5,Wing Nuts,,,,,,,,,,,,,,,,,,,,,,,,,
